"","team1","team2","winner","season","team1_seed","team2_seed"
"375","Stanford","Maryland","Maryland",2001,1,3
"376","Duke","Maryland","Duke",2001,1,3
"377","Michigan State","Arizona","Arizona",2001,1,2
"378","Duke","Arizona","Duke",2001,1,2
"379","Maryland","Siena","Maryland",2002,1,16
"380","Wisconsin","St. John's (NY)","Wisconsin",2002,8,9
"381","Marquette","Tulsa","Tulsa",2002,5,12
"382","Kentucky","Valparaiso","Kentucky",2002,4,13
"383","Texas Tech","Southern Illinois","Southern Illinois",2002,6,11
"384","Georgia","Murray State","Georgia",2002,3,14
"385","NC State","Michigan State","NC State",2002,7,10
"386","UConn","Hampton","UConn",2002,2,15
"387","Maryland","Wisconsin","Maryland",2002,1,8
"388","Tulsa","Kentucky","Kentucky",2002,12,4
"389","Southern Illinois","Georgia","Southern Illinois",2002,11,3
"390","NC State","UConn","UConn",2002,7,2
"391","Maryland","Kentucky","Maryland",2002,1,4
"392","Southern Illinois","UConn","UConn",2002,11,2
"393","Maryland","UConn","Maryland",2002,1,2
"394","Kansas","Holy Cross","Kansas",2002,1,16
"395","Stanford","Western Kentucky","Stanford",2002,8,9
"396","Florida","Creighton","Creighton",2002,5,12
"397","Illinois","San Diego State","Illinois",2002,4,13
"398","Texas","Boston College","Texas",2002,6,11
"399","Mississippi State","McNeese State","Mississippi State",2002,3,14
"400","Wake Forest","Pepperdine","Wake Forest",2002,7,10
"401","Oregon","Montana","Oregon",2002,2,15
"402","Kansas","Stanford","Kansas",2002,1,8
"403","Creighton","Illinois","Illinois",2002,12,4
"404","Texas","Mississippi State","Texas",2002,6,3
"405","Wake Forest","Oregon","Oregon",2002,7,2
"406","Kansas","Illinois","Kansas",2002,1,4
"407","Texas","Oregon","Oregon",2002,6,2
"408","Kansas","Oregon","Kansas",2002,1,2
"409","Duke","Winthrop","Duke",2002,1,16
"410","Notre Dame","Charlotte","Notre Dame",2002,8,9
"411","Indiana","Utah","Indiana",2002,5,12
"412","USC","UNC Wilmington","UNC Wilmington",2002,4,13
"413","California","Penn","California",2002,6,11
"414","Pitt","Central Connecticut","Pitt",2002,3,14
"415","Oklahoma State","Kent State","Kent State",2002,7,10
"416","Alabama","Florida Atlantic","Alabama",2002,2,15
"417","Duke","Notre Dame","Duke",2002,1,8
"418","Indiana","UNC Wilmington","Indiana",2002,5,13
"419","California","Pitt","Pitt",2002,6,3
"420","Kent State","Alabama","Kent State",2002,10,2
"421","Duke","Indiana","Indiana",2002,1,5
"422","Pitt","Kent State","Kent State",2002,3,10
"423","Indiana","Kent State","Indiana",2002,5,10
"424","Cincinnati","Boston University","Cincinnati",2002,1,16
"425","UCLA","Ole Miss","UCLA",2002,8,9
"426","Miami (FL)","Missouri","Missouri",2002,5,12
"427","Ohio State","Davidson","Ohio State",2002,4,13
"428","Gonzaga","Wyoming","Wyoming",2002,6,11
"429","Arizona","UCSB","Arizona",2002,3,14
"430","Xavier","Hawaii","Xavier",2002,7,10
"431","Oklahoma","UIC","Oklahoma",2002,2,15
"432","Cincinnati","UCLA","UCLA",2002,1,8
"433","Missouri","Ohio State","Missouri",2002,12,4
"434","Wyoming","Arizona","Arizona",2002,11,3
"435","Xavier","Oklahoma","Oklahoma",2002,7,2
"436","UCLA","Missouri","Missouri",2002,8,12
"437","Arizona","Oklahoma","Oklahoma",2002,3,2
"438","Missouri","Oklahoma","Oklahoma",2002,12,2
"439","Maryland","Kansas","Maryland",2002,1,1
"440","Oklahoma","Indiana","Oklahoma",2002,2,5
"441","Maryland","Indiana","Indiana",2002,1,5
"442","Texas","UNC Asheville","Texas",2003,1,16
"443","LSU","Purdue","Purdue",2003,8,9
"444","UConn","BYU","UConn",2003,5,12
"445","Stanford","San Diego","Stanford",2003,4,13
"446","Maryland","UNC Wilmington","Maryland",2003,6,11
"447","Xavier","Troy","Xavier",2003,3,14
"448","Michigan State","Colorado","Michigan State",2003,7,10
"449","Florida","Sam Houston State","Florida",2003,2,15
"450","Texas","Purdue","Texas",2003,1,9
"451","UConn","Stanford","UConn",2003,5,4
"452","Maryland","Xavier","Maryland",2003,6,3
"453","Michigan State","Florida","Michigan State",2003,7,2
"454","Texas","UConn","Texas",2003,1,5
"455","Maryland","Michigan State","Michigan State",2003,6,7
"456","Texas","Michigan State","Texas",2003,1,7
"457","Oklahoma","South Carolina State","Oklahoma",2003,1,16
"458","California","NC State","California",2003,8,9
"459","Mississippi State","Butler","Butler",2003,5,12
"460","Louisville","Austin Peay","Louisville",2003,4,13
"461","Oklahoma State","Penn","Oklahoma State",2003,6,11
"462","Syracuse","Manhattan","Syracuse",2003,3,14
"463","St. Joseph's","Auburn","Auburn",2003,7,10
"464","Wake Forest","ETSU","Wake Forest",2003,2,15
"465","Oklahoma","California","Oklahoma",2003,1,8
"466","Butler","Louisville","Butler",2003,12,4
"467","Oklahoma State","Syracuse","Syracuse",2003,6,3
"468","Auburn","Wake Forest","Auburn",2003,10,2
"469","Oklahoma","Butler","Oklahoma",2003,1,12
"470","Syracuse","Auburn","Syracuse",2003,3,10
